surface,fibres,flocons,paillettes,filename,image,video
MC,raw,raw,raw,MC_raw_raw_raw,MC_raw_raw_raw.jpeg,MC_raw_raw_raw.webp
MC,raw,raw,gold,MC_raw_raw_gold,MC_raw_raw_gold.jpeg,MC_raw_raw_gold.webp
MC,raw,raw,red,MC_raw_raw_red,MC_raw_raw_red.jpeg,MC_raw_raw_red.webp
MC,raw,raw,green,MC_raw_raw_green,MC_raw_raw_green.jpeg,MC_raw_raw_green.webp
MC,raw,raw,blue,MC_raw_raw_blue,MC_raw_raw_blue.jpeg,MC_raw_raw_blue.webp
MC,raw,gold,raw,MC_raw_gold_raw,MC_raw_gold_raw.jpeg,MC_raw_gold_raw.webp
MC,raw,gold,gold,MC_raw_gold_gold,MC_raw_gold_gold.jpeg,MC_raw_gold_gold.webp
MC,raw,gold,red,MC_raw_gold_red,MC_raw_gold_red.jpeg,MC_raw_gold_red.webp
MC,raw,gold,green,MC_raw_gold_green,MC_raw_gold_green.jpeg,MC_raw_gold_green.webp
MC,raw,gold,blue,MC_raw_gold_blue,MC_raw_gold_blue.jpeg,MC_raw_gold_blue.webp
MC,raw,red,raw,MC_raw_red_raw,MC_raw_red_raw.jpeg,MC_raw_red_raw.webp
MC,raw,red,gold,MC_raw_red_gold,MC_raw_red_gold.jpeg,MC_raw_red_gold.webp
MC,raw,red,red,MC_raw_red_red,MC_raw_red_red.jpeg,MC_raw_red_red.webp
MC,raw,red,green,MC_raw_red_green,MC_raw_red_green.jpeg,MC_raw_red_green.webp
MC,raw,red,blue,MC_raw_red_blue,MC_raw_red_blue.jpeg,MC_raw_red_blue.webp
MC,raw,green,raw,MC_raw_green_raw,MC_raw_green_raw.jpeg,MC_raw_green_raw.webp
MC,raw,green,gold,MC_raw_green_gold,MC_raw_green_gold.jpeg,MC_raw_green_gold.webp
MC,raw,green,red,MC_raw_green_red,MC_raw_green_red.jpeg,MC_raw_green_red.webp
MC,raw,green,green,MC_raw_green_green,MC_raw_green_green.jpeg,MC_raw_green_green.webp
MC,raw,green,blue,MC_raw_green_blue,MC_raw_green_blue.jpeg,MC_raw_green_blue.webp
MC,raw,blue,raw,MC_raw_blue_raw,MC_raw_blue_raw.jpeg,MC_raw_blue_raw.webp
MC,raw,blue,gold,MC_raw_blue_gold,MC_raw_blue_gold.jpeg,MC_raw_blue_gold.webp
MC,raw,blue,red,MC_raw_blue_red,MC_raw_blue_red.jpeg,MC_raw_blue_red.webp
MC,raw,blue,green,MC_raw_blue_green,MC_raw_blue_green.jpeg,MC_raw_blue_green.webp
